Vertices,Comparisons(sparse),Duration(sparse),Comparisons(dense),Duration(dense)
362,2234,4.977,2640,5.606
363,1961,4.921,2421,5.05
364,1851,5.02,2386,5.05
365,2220,4.952,2474,5.534
366,2128,4.85,2540,5.272
367,1843,4.923,2410,5.187
368,1925,5.216,2517,5.341
369,2348,5.093,2790,5.476
370,1834,5.096,2479,5.292
371,2042,5.527,2539,5.306
372,1937,5.259,2577,5.409
373,2523,4.999,2467,5.416
374,2098,5.545,2561,5.721
375,1909,5.549,2445,6.941
376,2256,6.25,2458,5.629
377,2190,5.139,2498,5.43
378,2188,5.13,2527,5.579
379,2256,5.324,2479,5.451
380,2423,5.326,2585,6.131
381,2287,5.324,2592,5.576
382,2121,5.436,2759,5.773
383,2072,5.311,2547,5.535
384,2203,5.248,2598,5.754
385,2104,5.443,2760,5.704
386,2030,5.589,2549,5.647
387,2306,5.46,2759,5.774
388,2001,5.477,2557,6.002
389,2456,5.554,2713,5.785
390,2195,5.617,2604,5.935
391,2319,5.744,2738,5.803
392,2137,5.701,2478,6.145
393,2488,5.926,2654,6.054
394,2061,6.305,2706,6.39
395,2118,5.812,2531,6.234
396,2157,5.946,2567,6.569
397,2179,5.926,2912,6.394
398,2053,6.144,2583,6.153
399,2316,6.326,2557,6.729
400,2197,6.119,2752,6.229
401,2823,6.211,2775,7.708
402,2141,6.782,2748,7.801
403,2159,10.043,2689,7.894
404,2322,7.057,2634,7.39
405,2108,7.302,2637,7.359
406,2421,8.734,2680,7.258
407,3122,7.329,2714,6.68
408,2594,6.598,2713,6.595
409,2216,6.781,2661,7.257
410,2246,7.791,2672,7.107
411,2100,6.619,2723,6.766
412,2272,6.623,2701,6.838
413,2697,6.635,2898,7.062
414,2557,6.887,2813,7.6
415,2218,6.46,2691,7.192
416,2460,7.45,2977,7.493
417,2271,6.855,2700,7.346
418,2335,6.896,2788,7.487
419,2388,6.689,2872,7.689
420,2218,6.796,2894,8.041
421,2490,6.865,2852,7.774
422,2131,6.917,2655,7.857
423,2432,6.982,2969,7.915
424,2253,6.765,2742,7.822
425,2321,6.902,2888,7.751
426,2558,6.96,2952,7.386
427,2350,7.087,2894,7.694
