Vertices,Comparisons(sparse),Duration(sparse),Comparisons(dense),Duration(dense)
410,1218,8.297,2700,8.69
411,1221,8.392,2709,8.73
412,1226,8.398,2691,8.891
413,1231,8.397,2890,9.478
414,1231,8.743,2717,9.209
415,1234,8.838,2735,8.923
416,1234,8.561,2671,9.001
417,1242,8.574,2755,9.169
418,1244,9.933,2846,9.396
419,1247,8.756,2910,9.135
420,1250,8.796,2866,9.379
421,1254,8.761,2793,9.23
422,1260,8.723,2761,9.078
423,1264,9.095,2947,9.406
424,1259,9.03,2787,9.295
425,1265,8.883,2807,9.382
426,1269,9.244,2807,9.534
427,1274,9.268,2703,9.488
428,1275,9.823,2884,9.816
429,1280,9.217,2839,9.895
430,1283,9.179,2807,9.875
431,1278,9.52,2833,9.909
432,1288,9.284,2883,10.17
433,1291,10.603,2902,9.977
434,1292,9.634,2911,10.098
435,1293,9.736,2941,10.936
436,1296,9.514,2919,10.076
437,1300,9.568,2776,10.548
438,1304,9.673,2896,10.269
439,1308,9.677,2930,10.164
440,1314,9.741,2930,10.329
441,1314,9.74,3143,10.081
442,1315,9.738,3152,10.362
443,1321,9.727,3080,10.393
444,1322,9.88,3057,10.759
445,1329,9.829,2930,10.667
446,1327,9.964,2818,10.454
447,1333,9.792,3035,10.564
448,1333,10.055,2897,10.531
449,1337,9.922,2983,10.551
450,1340,9.919,3000,10.383
451,1346,10.292,2936,10.95
452,1348,10.291,2962,10.628
453,1346,10.263,3044,10.769
454,1351,10.325,3045,10.75
455,1355,10.296,3072,10.85
456,1355,10.366,3044,10.908
457,1363,10.444,2933,10.947
458,1357,10.315,3066,11.21
459,1369,10.744,3037,11.162
460,1373,10.384,3074,11.116
461,1377,10.409,3012,11.158
462,1375,10.829,3110,11.355
463,1383,11.052,3169,11.792
464,1386,10.94,3080,11.327
465,1382,11.073,3224,11.549
466,1387,10.991,2964,11.511
467,1394,10.823,3224,11.787
468,1396,10.869,3281,11.404
469,1398,11.096,3067,11.964
470,1403,11.022,3096,12.103
471,1401,11.103,3024,11.468
472,1407,12.869,3164,11.857
473,1408,11.435,3329,11.876
474,1411,11.14,3317,13.248
475,1414,11.419,3200,12.092
476,1421,11.521,3135,12.096
477,1424,11.525,3144,12.091
478,1427,12.465,3268,12.476
479,1428,11.585,3044,12.514
480,1431,11.678,3162,12.698
481,1433,11.461,3430,12.139
482,1439,11.467,3243,16.906
483,1438,11.922,3377,12.28
484,1446,11.835,3396,12.622
485,1447,11.96,3204,13.208
486,1443,12.513,3216,13.122
487,1452,11.778,3174,12.371
488,1454,12.19,3225,12.735
489,1459,12.221,3258,12.557
490,1456,11.85,3182,13.516
491,1463,12.704,3223,12.663
492,1469,12.317,3228,13.173
493,1470,12.168,3428,12.729
494,1472,11.957,3327,12.789
495,1473,12.204,3385,13.064
496,1479,12.792,3379,13.144
497,1483,12.414,3505,12.917
498,1488,12.765,3160,13.191
499,1486,12.905,3371,13.029
